-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 cudaDeviceGetAttribute         0.01%     687.558us         0.01%     687.558us       0.735us       3.005ms         0.11%       3.005ms       3.210us           936  
                                        cudaMemcpyAsync        37.20%        1.709s        37.20%        1.709s       2.332ms       2.925ms         0.10%       2.925ms       3.990us           733  
                                     aten::exponential_         0.01%     662.081us         0.03%       1.152ms      27.429us       2.841ms         0.10%       2.841ms      67.645us            42  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       2.841ms         0.10%       2.841ms      67.645us            42  
                                    cudaStreamWaitEvent         0.00%      99.102us         0.00%      99.102us       2.360us       2.255ms         0.08%       2.255ms      53.700us            42  
                                   cudaDriverGetVersion         0.00%      11.477us         0.00%      11.477us       0.244us       1.468ms         0.05%       1.468ms      31.229us            47  
triton_red_fused__to_copy_add_embedding_mean_mul_pow...         0.00%       0.000us         0.00%       0.000us       0.000us       1.245ms         0.04%       1.245ms      29.636us            42  
                                   cudaEventSynchronize        42.52%        1.953s        42.56%        1.955s      23.276ms       1.165ms         0.04%       1.271ms      15.136us            84  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.164ms         0.04%       1.164ms       2.010us           579  
                               cudaEventRecordWithFlags         0.01%     416.381us         0.01%     416.381us       3.062us     984.462us         0.04%     984.462us       7.239us           136  
triton_red_fused__to_copy_add_embedding_mean_mul_pow...         0.02%     691.511us         0.02%       1.061ms      62.421us     974.703us         0.03%     974.703us      57.335us            17  
                                     triton_poi_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     940.238us         0.03%     940.238us      22.387us            42  
                                     triton_poi_fused_1         0.01%     631.210us         0.02%     844.004us      49.647us     759.027us         0.03%     759.027us      44.649us            17  
                                            aten::index         0.05%       2.514ms         0.15%       6.705ms      98.601us     368.026us         0.01%     581.368us       8.550us            68  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     345.564us         0.01%     345.564us       1.309us           264  
                                       cuLaunchKernelEx         0.02%     812.532us         0.02%     812.532us      19.346us     228.539us         0.01%     228.539us       5.441us            42  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     215.803us         0.01%     215.803us       5.138us            42  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     213.342us         0.01%     213.342us       5.080us            42  
                              _copy_page_indices_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     174.588us         0.01%     174.588us       4.157us            42  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     162.427us         0.01%     162.427us       3.867us            42  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     152.223us         0.01%     152.223us       5.855us            26  
                                         aten::scatter_         0.01%     672.967us         0.02%       1.114ms      42.849us     134.109us         0.00%     134.109us       5.158us            26  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     134.109us         0.00%     134.109us       5.158us            26  
                                              aten::sub         0.05%       2.077ms         0.07%       3.414ms      20.324us     103.775us         0.00%     103.775us       0.618us           168  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     103.775us         0.00%     103.775us       2.471us            42  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     101.950us         0.00%     101.950us       2.427us            42  
                                            aten::fill_         0.02%     970.586us         0.04%       1.720ms      12.464us      91.423us         0.00%      91.423us       0.662us           138  
